Sentence,Sentiment,label
Operating loss totaled EUR 0.3 mn compared to a profit of EUR 2.2 mn in the corresponding period in 2007 .,negative,0
Operating profit fell to EUR 23.26 mn from EUR 32.86 mn .,neutral,1
#NDX component Tesla has announced it is recalling 2700 Model X SUVs. $TSLA,negative,0
"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .",positive,2
"Simultaneously , Alma Media has purchased a 35 % share of Arena Interactive , a subsidiary of Arena Partners with a focus on mobile solutions development .",neutral,1
"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",positive,2
Donations to universities The Annual General Meeting authorized the Board of Directors to donate max .,neutral,1
TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,positive,2
"`` We have a group of 120 volunteers made up of Digicel employees who will manage the distribution ... Over the next week , they will distribute the 19,000 tents to more than 150 organizations , '' Digicel Haiti CEO Maarten Boute said .",neutral,1
Currently Alfred A Palmberg is putting the finishing touches to one of Finland 's biggest ever re-plumbing and bathroom refurbishment projects also in the district of Vuosaari .,neutral,1
"$HAL If bulls lucky enuff to get an upside gap fill, better take it. Wouldn't chase it here. http://stks.co/r12Us",neutral,1
"`` I 'm pleased to receive the Nomination Committee 's request and confidence , '' says Jon Risfelt .",positive,2
EPS dropped to EUR0 .2 from EUR0 .3 .,negative,0
The Finnish paints company acquired the remaining 49 pct that it did not own from Ukraine 's LGU for an undisclosed sum .,neutral,1
"The new company will likely hold an IPO on the NYSE or another international stock exchange , according to Altimo which manages the Alfa Group 's telecommunications assets and TeliaSonera 's agreement , which has been published on the website of the U.S. Securities and Exchange Commission .",neutral,1
Increased trust of our clients in YIT can be seen as apartment sales accelerated .,positive,2
"The end-to-end delivery combines the competencies and services from TietoEnators Telecom & Media , Processing & Network and Digital Innovations Business Areas .",neutral,1
4 January 2011 - Finnish media company Alma Media Corporation HEL : ALN1V said today its online recruitment service Monster Oy will partner with local newspaper publisher Suomen Lehtiyhtyma in listing job advertisements .,neutral,1
"HELSINKI ( AFX ) - Nokian Tyres reported a fourth quarter pretax profit of 61.5 mln eur , up from 48.6 mln on the back of strong sales .",positive,2
The hack had been extra nefarious because the tweets activated without being clicked on - it was enough for Web surfers to move their mouse cursors over them .,neutral,1
"The total service concept also includes technology services , with which Raute supports its customers throughout the entire life cycle of their investments .",neutral,1
Through the acquisition Solteq will expand its solutions offering by Microsoft 's Dynamics business software products .,positive,2
"In Sweden , there is an oversupply of pharmacies .",neutral,1
AstraZeneca share price: Acerta deal pays off with orphan drug status,positive,2
Industry Investment is very interested in Glaston 's solar energy projects .,positive,2
Ingen is an established medical device manufacturer with an emerging new medical product line for the respiratory market worth an estimated $ 4 billion in the U.S. and $ 8 billion globally .,neutral,1
The goal is to secure the company 's profitability and competitiveness .,neutral,1
Incap Furniture is presently negotiating staff cuts .,negative,0
The trucks feature an Eco Drive system - a fuel measuring tool which stores data particular to individual drivers .,neutral,1
"$DNN picked some up, like this going into 2014",positive,2
The reductions will be concluded by autumn 2010 .,neutral,1
"Currently , the plant operates on full capacity .",neutral,1
"The offer of some 30 million shares aimed to raise more than  x20ac 500 million US$ 640 million , was expected to be completed by Oct. 9 , Outokumpu said .",neutral,1
Le Lay succeeds Walter G++nter and will be based in Finland .,neutral,1
Total value of the contract is about EUR 10mn .,neutral,1
The company does not disclose the sum it applied for .,neutral,1
"In the first nine months of 2010 , the company 's net loss narrowed to EUR 415,000 from EUR 7.4 million for the corresponding period of 2009 .",positive,2
"The chain has been trying to cut its own costs , pressuring vendors such as fitness equipment manufacturer Precor to slash prices .",neutral,1
"Fiskars , a 360-year-old global business best known for its orange-handled scissors , expects to derive synergies of EUR5 million a year by consolidating certain parts of the housewares division where the two compete .",positive,2
$IWM buy programs popping $iwm for close print cheap money means higher stock prices $spy robot buying,positive,2
The impact on TietoEnator 's net sales for 2008 from the purchase is expected to be some 11 mln euro $ 15.9 mln .,neutral,1
"In a separate announcement to the Helsinki stock exchange , Atria revealed that the company 's third quarter profits declined from EUR13 .9 m in the third quarter of last year to EUR12 .7 m in this year 's Q3 .",neutral,1
Synergy Pharma Soars 67% Today On Positive Phase 3 Results $SGYP http://stks.co/j2awg,positive,2
"Via the move , the company aims annual savings of some EUR 3 million USD 4.3 m , the main part of which are expected to be realized this year .",positive,2
"Crucially , the decision to use ETSI ( European Telecommunication Standard Institute ) - backed DVB-H adds to the growing list of operators and equipment manufacturers opting for the standard ( see Global : 20 January 2006 : Competing Technologies Vie for Mobile TV ) .",neutral,1
Completion of the transaction is subject to a final agreement and a Due Diligence process .,neutral,1
Rubin says he expects Capman to announce 1-2 additional transactions in 2009 .,neutral,1
All YIT Capital Markets Day materials will be available on the company 's Internet site at www.yitgroup.com/investors at 10:30 on September 26 .,neutral,1
"Talvik says the relocation of application programs on servers will continue , while HP servers were approved because of HP supplying a tailor-made solution to Elisa .",neutral,1
"Antti Orkola , president of Kemira GrowHow 's Industrial Solutions unit , told Thomson Financial News the company has put off opening the mine as prices of phosphate have been ` quite depressed for a long time ' . '",neutral,1
"SRV will raise its holding in the company so that by the summer of 2008 , it will have a majority .",positive,2
Companies Thetrainline.com announces arrival of London IPO,positive,2
"In Q1 of 2009 , Bank of +àland 's net interest income weakened by 10 % to EUR 9.1 mn .",negative,0
Almost the entire office building will be occupied by Metso .,neutral,1
"The first four of the new shop-in-shops will be opened this spring : on Madison Avenue in New York as well as in Chicago , Los Angeles and San Francisco .",neutral,1
Cargotec will also move Hallberg-Ivarsson 's service and installation business under the same roof with its service center for Kalmar and MacGregor solutions in Gothenburg .,neutral,1
"Ragutis , which is based in Lithuania 's second-largest city Kaunas , boosted its sales last year 22.3 per cent to 36.4 million liters .",positive,2
"The segment has an annual revenue of approximately EUR400m , the company said .",neutral,1
U.S. Debt Lures Schroders as ECB Depresses Rates,neutral,1
"ALEXANDRIA , Va. , Dec. 22 -- United States Patent no. 7,854,608 , issued on Dec. 21 , was assigned to Outotec Oyj ( Espoo , Finland ) .",neutral,1
"In the Czech Republic , the profiling unit at Ostrava will be closed and the machinery will be relocated to Ruukki 's bigger plants in Hungary , Poland and Romania by the end of the first quarter of 2009 .",neutral,1
Finnish Cargotec 's Kalmar has received a significant order from the US Department of Defense .,positive,2
"The company 's annual loss amounted to EEK 18mn , compared to a profit of EEK 7.3 mn in 2008 .",negative,0
"from BUSINESS LINE , May 16 , 2008 Sriperumbudur , May 15 - Nokia 's two key suppliers - Aspocomp and Wintek - are likely to start operations within three months in the Nokia Telecom Park at Sriperumbudur , 45 km west off Chennai .",neutral,1
easyJet expects resilient demand to withstand security fears,positive,2
"ADPnews - Jul 17 , 2009 - Finland-based steel maker Rautaruukki Oyj Ruukki HEL : RTRKS said today it slipped to a net loss of EUR 184 million USD 259.7 m for the first half of 2009 from a net profit of EUR 2",neutral,1
in Finland Finnish pharmaceutical company Orion Corporation OMX Helsinki : ORNAV said on Wednesday 7 January that it has concluded its personnel negotiations in Finland and will reduce the number of personnel by 205 .,negative,0
"The board machine , which will have a wire width of 6.25 m and a design speed of 900 m-min , will produce close to 1,400 tonnes of folding boxboard per day .",neutral,1
"Sudden optimism about iPhone sales (i.e., not as bad as expected) gives Apple $AAPL a lift.  https://t.co/oKTCw4YiB5",positive,2
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,positive,2
Scanfil has also issued a profit warning .,neutral,1
No financial details were reported .,neutral,1
The third order awarded to Outokumpu Technology is by Shalkiya Zinc of Kazakhstan for the Shalkiya zinc-lead project in Kazakhstan .,positive,2
Shire share price under pressure after $32bn Baxalta deal,negative,0
"$TYC just about to break out to new highs, lots of technicals looking great right now.",positive,2
The annual net sales of the unit is some EUR 5 million and it currently employs some 55 people .,neutral,1
21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .,positive,2
Deliveries by Outotec will take place over 30 months .,neutral,1
Whitbread buys 49% stake in Pure food chain,positive,2
"Via the takeover , Panostaja further expands its business area specialising in digital printing , which since previously consists of the subsidiaries Kopijyva Oy and Sokonet Oy .",positive,2
"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",positive,2
"The earnings per share for the quarter came in at 0.25 eur , up from the 0.20 eur of the same quarter a year earlier .",positive,2
Finnish insurance company Fennia and Kesko Group are ending their loyal customer cooperation .,negative,0
"Tampere Science Parks is a Finnish company that owns , leases and builds office properties and it specialises in facilities for technology-oriented businesses .",neutral,1
The administrators have indicated a need for 900 job cuts at the Irish insurer over the next 15 months .,negative,0
"Sales in Latin America increased by 42 % to EUR 432mn , and a total of 8.7 mn mobile devices were sold in the area , representing an increase of 32 % from the corresponding period in 2009 .",positive,2
Rautaruukki aims to find work from the group 's other locations for those who have been made redundant .,neutral,1
"Excluding non-recurring items , pre-tax profit surged 45 % to EUR80m .",positive,2
Operating profit in the fourth quarter fell to EUR33m from EUR39m a year earlier .,neutral,1
Pivotal Research upgrading $GOOGL to buy.  https://t.co/LSahepdqhD    #stocktrading,positive,2
TalkTalk hires BAE Systems to investigate cyber attack,negative,0
Productional situation has now improved .,positive,2
The value of the total investment is about EUR 600mn .,neutral,1
"Finland-based international machinery rental company Ramirent Plc ( OMX Helsinki : RMR1V ) said on Friday ( 9 May ) that its president and CEO , Kari Kallio , has informed the board of his intention to retire in year 2009 .",neutral,1
@Vegastrader66 Looks like good entry for $QIHU here.,positive,2
Strategic and operational business information is objectively reported .,neutral,1
"DnB Nord of Norway is the `` most likely Nordic buyer '' for Citadele , while Nordea would be a `` good strategic fit '' , according to the document published by Pietiek .",neutral,1
The companies signed the letter of intent for the sale on 17 September 2010 and envisaged to seal the actual agreement on 1 January 2011 .,neutral,1
"Operating profit for the 12-month period decreased from EUR17 .9 m while net sales increased from EUR58 .3 m , as compared to 2007 .",neutral,1
Electronic versions require 24-48 hours as each copy is customized to the client with digital controls and custom watermarks .,neutral,1
The contract will take effect in 2009 for a five or ten year period .,neutral,1
"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .",positive,2
"- Demand for fireplace products was lower than expected , especially in Germany .",negative,0
The percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the Trade Register and the total number of voting rights related to them .,neutral,1
The acquisition is expected to take place by the end of August 2007 .,neutral,1
CRH adds CR Laurence to acquisitions tally for $1.3bn,positive,2
"NORDIC BUSINESS REPORT-17 January 2006-Efore Plc inaugurates new plant in Estonia -® 1998-2006 M2 COMMUNICATIONS LTD Finnish power electronics manufacturer Efore Plc said on Tuesday ( 17 January ) that it was inaugurating its new plant in Parnu , Estonia .",neutral,1
"`` I 'm happy with the outcome , '' Sneed said after the hearing .",positive,2
Grounds for the notification : Tiimari Plc 12/30/2010 issued Capital Convertible Loan allocation decision by the Board on 01/31/2011 .,neutral,1
"Finnish Scanfil , a systems supplier and contract manufacturer to the communications sector and the electronics industry , reports net sales of EUR 49.6 mn in the first quarter of 2009 , which are only a per cent smaller than in the corresponding period in 2008 .",negative,0
$SAVE long. https://t.co/yEJuS9cMlC,positive,2
"Elcoteq Dongguan was established in 1999 in the Nancheng District of Dongguan , China and is one of Elcoteq s four volume manufacturing plants in the Asia-Pacific region .",neutral,1
$NUGT Gold above 1400...wow,positive,2
Border Guard Service has banned the mooring of the company car-shipping ferry on its test travel at the railroad-car terminal of the Russian port as the border checkpoint is not yet ready .,negative,0
$ISR- @IsoRay Up 6% and high on volume http://stks.co/iFpo #biotech,positive,2
"This new deal has strengthened the partnership from Telemig Celular and Tecnomen , which it has started since the beginning of Telemig 's prepaid operations .",positive,2
Following the increase the company+óEUR TM s capital totals 5.5 mln Romanian lei $ 1.98 mln-1 .56 mln euro .,neutral,1
"Upon establishment , the plan is directed to approximately 20 persons .",neutral,1
"Centrica extends gas deals with Gazprom, Statoil",positive,2
CompaniesUnilever sales lifted by ice cream in soft economy,positive,2
"According to Finnish petrol station chain St1 's managing director Kim Wiio , the company was forced to make purchases with rising prices in the first half of 2008 , and now consumer prices are going down almost daily due to competition .",negative,0
Standard Chartered Shifts Emerging-Markets Strategy After Losses,negative,0
"Earlier today , Geberit 's Finnish rival Uponor OYJ cut its full-year sales growth forecast to 6 pct from 10 pct , blaming tough conditions in Germany and the US , as well as currency factors .",neutral,1
Panostaja Oyj 's Board also decided at its organisational meeting held upon completion of the AGM to implement the AGM decision concerning Board member fees paid as shares in such a way that shares are transferred on a quarterly basis on the date following publication of the quarterly-annual report .,neutral,1
"The change in holdings in accordance with Chapter 2 , Section 9 of the Finnish Securities Markets Act is described below .",neutral,1
"took some $ENDP long this am, using VWAP as guide",positive,2
"It is part of the development of the world-class magnetite deposit at Karara , which has the known potential for over 30 million metric tons of annual processing of magnetite over its estimated 30-year life .",neutral,1
Olvi has posted a strong set of figures for the first six months of this year .,positive,2
"In July-September 2009 , Konecranes ' sales decreased to EUR 368.7 mn from EUR 520.4 mn in July-September 2008 .",neutral,1
The ISO certification demonstrates that we are moving forward in our quality commitments to our customers . ',positive,2
"Red Daily Triangle on $SHOR,...Scaling Up on Long Position http://stks.co/r82S",positive,2
L&T also acquired a 50 pct stake in local sector company Salvor Oy at the beginning of September 2007 .,neutral,1
Production at the plant will be based on Neste Oil 's proprietary technology that can use a flexible input of any vegetable oil or animal fat .,neutral,1
Her last position in Nokia Siemens Networks was head of Business Human Resources NSN global IT .,neutral,1
Amanda said that it had already made a USD5 .0 m investment commitment in Russia Partners II fund in July 2005 .,neutral,1
"Finnish electronics contract manufacturer Scanfil had net sales of EUR 52.2 mn in the first quarter of 2007 , down from EUR 60.1 mn a year before .",negative,0
A total of 140 jobs will be reduced at the Raahe Steel Works .,neutral,1
The expansion aims to attract new customers both in Finland and abroad .,positive,2
"The Finnish real estate investment company Interavanti Oyj said on Monday ( 22 September ) that it has agreed to sell its 65 % ownership in the Finnish ticket service company Lippupiste Oy to CTS Eventim AG ( 56,1 % ) and to the managing director of Lippupiste Oy .",neutral,1
Arm slammed by handset sales outlook,negative,0
"Finnish construction company YIT Corporation is planning to build about 200 high-quality holiday homes near the Tahko ski and spa resort , in Finland .",positive,2
Metsaliitto said that it will book a minor gain of less than EUR1 .0 m from the transaction .,positive,2
The Commission is to be applauded for applying a fact-based and data-driven approach and for providing clarity for future petitions .,positive,2
`` Printed fabrics and related design expertise have always been the core of Marimekko 's business and brand .,neutral,1
Less than ten people will face pension agreements .,neutral,1
$AAPL weekly still under the 50 moving average and creating a lower high. https://t.co/vT7ppzY2UY,negative,0
"`` As defences mature , attackers develop Trojans that are equipped with content filters to detect online banking activity for capturing account details using methods such as form grabbing , screen shots , video captures , keylogging and injection of form fields .",neutral,1
Cramo slipped to a pretax loss of EUR 6.7 million from a pretax profit of EUR 58.9 million .,neutral,1
easyJet leads Britain's FTSE lower as global bond rout resumes,negative,0
Operating profit rose to EUR 26.7 mn from EUR 14.9 mn in the corresponding period in 2006 .,positive,2
"Profit for the period totalled EUR 0.8 mn , down from EUR 1.1 mn in the corresponding period in 2008 .",neutral,1
"Thus the group 's balance sheet will have about EUR25 .8 m in goodwill for 2010 , the company added .",neutral,1
"HK Ruokatalo now accounts for about 50 % of poultry sales in Finland , and profitability is at a good level .",positive,2
"To ensure low operational cost for radio networks , the BTS modules can be configured , software upgraded and diagnosed remotely .",positive,2
"In the reporting period , EPS stood at EUR0 .07 versus EUR0 .11 .",neutral,1
Finland-based Stockmann Group has closed seven franchising sports stores Nike in Russia .,negative,0
"Finland 's Technopolis is planning to bring the first section of a technopark on stream in St. Petersburg at the end of 2008 , Kari Mikkonen , vice president of Technopolis , told reporters in Helsinki .",neutral,1
Incap and Lankapaja aim to enter into actual agreement to transfer the sheet-metal production to the buyer in February in order to complete the transfer on 1 March 2011 .,positive,2
$YELP This goes green and so many shorts are toast!,positive,2
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,neutral,1
The estimated value of the deal is USD 9.2 million .,neutral,1
"Profit before taxes decreased by 9 % to EUR 187.8 mn in the first nine months of 2008 , compared to EUR 207.1 mn a year earlier .",neutral,1
"According to Nordic financial group Nordea 's analyst Sami Sarkamies , this makes Nokia 's portfolio competitive again .",positive,2
NYSE owner ICE may gatecrash Deutsche Boerse-LSE merger,negative,0
"Operating profit totaled EUR 3.8 mn , down from EUR 4.5 mn in the corresponding period in 2005 .",negative,0
Kone shares dropped 4.1 percent to  x20ac 43 US$ 55.77 in Helsinki .,neutral,1
"`` This transaction supports Huhtamaki 's strategic review of rigid plastic consumer goods operations '' , says Huhtam+ñki Oyj 's CEO Jukka Moisio .",neutral,1
"Intuitive Surgical $ISRG is in a great financial position, take a look https://t.co/VahhJAcBFG https://t.co/24hQTQX4ou",positive,2
These moderate but significant changes resulted in a significant 24-32 % reduction in the estimated CVD risk .,positive,2
"`` There 's the issue of thieves stealing them from building sites , '' said Mr Smith .",negative,0
"Previously , it projected the figure to be slightly lower than in 2009 .",neutral,1
"$KNDI Break that HOD on volume, and we have a nice consolidation completed for another run.",positive,2
"Finnish Scanfil , a systems supplier and contract manufacturer to the communications sector and the electronics industry , reports its net sales totalled EUR 94.7 mn in the first half of 2010 , down from EUR 99.5 mn in the first half of 2009 .",negative,0
Shire Sees Baxalta Deal Closing as Expected After New Rules,positive,2
"Cramo Plc is a service company specialising in construction machinery and equipment rental and rental-related services , as well as rental and sale of modular space .",neutral,1
"In January-August 2009 , imports by sea in container , lorry , and trailer units fell by 27.7 % and exports by 28.6 % from the corresponding period in 2008 .",neutral,1
The company said that it has agreed to a EUR160m unsecured credit line from lenders .,neutral,1
The company then said it will focus its resources on clinical research .,neutral,1
"Finnish Ponsse has signed an agreement with Babcock Africa for the distribution and support of Ponsse forest machines , harvester heads , and information systems in South Africa .",positive,2
An audio webcast will be available live and archived on Cerner 's Web site at www.cerner.com .,neutral,1
Breakingviews: IAG can pay more for Aer Lingus,positive,2
down to EUR5 .9 m H1 '09 3 August 2009 - Finnish media group Ilkka-Yhtyma Oyj ( HEL : ILK2S ) said today its net profit fell 45 % on the year to EUR5 .9 m in the first half of 2009 .,negative,0
"The study was not designed to enable formal statistical evaluation of therapeutic activity , the company said .",neutral,1
The fund at fair value will increase correspondingly .,positive,2
The total investment in 2006 and 2007 is expected to amount to about EUR75m .,neutral,1
The price will be specified at the completion date .,neutral,1
"The remaining amount will be funded through debt , the Danish bank said .",neutral,1
The Financial Statements and Interim Reports will be released around at 9.00 a.m. ( Finnish time ) on the given dates .,neutral,1
"In the next few years , the ICT sector 's share of electricity consumption will be raised by the increase in the popularity of smartphones .",neutral,1
The company says the measures are no longer needed .,neutral,1
"TietoEnator itself uses Nokia 's Intellisync Mobile Suite 's wireless email , calendar , and device management capabilities , and the company will now extend these services to its customers .",positive,2
$PLUG Closed short position. Small gain. Not interested in options expiring worthless,positive,2
"Jukka Hienonen , the current Finnair CEO , will step down at the end of January 2010 .",neutral,1
The intent of the article was to focus attention on the fact that the development model that China had followed was very different than the model that India had followed .,neutral,1
Tikkurila acquired a majority stake in Kolorit Paints in the autumn of 2004 .,neutral,1
"The Finnish company is building a 800,000 mt-year biodiesel plant in Singapore .",neutral,1
The order includes 48 ship cranes that will be delivered for 12 container feeders to be built at Wenchong shipyard in China .,neutral,1
"The product range includes marinated olives , cold cuts , and pates , for example .",neutral,1
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",positive,2
"Net cash flow from operating activities was a negative EUR 3.1 mn , compared to EUR 23.3 mn in the corresponding period in 2009 .",neutral,1
"METALS-Zinc surges 12 pct after Glencore cuts output, fuelling metals rally",positive,2
The iPad application joins the iPhone app as part of Monster 's range of mobile applications for job hunting .,neutral,1
Synergy benefits will start to materialise in the second quarter .,positive,2
HSBC appoints business leaders to board,positive,2
Ruling sets lower limit on potential fine for BP,negative,0
Long $GPRO for a brealout trade,positive,2
"In Finland , OP-Pohjola 's staff union is boycotting the group 's insurance sales tasks because the company has refused to take the sale of insurance into account in determining wages .",neutral,1
Actions to improve operational efficiency and adjust operations are expected to deliver annualised permanent cost savings of around EUR 4.5 million and will be effected mostly during the first half of 2010 .,positive,2
$BAC in for swing trade  looks like want go up,positive,2
$KCG bot at 2.24,positive,2
$EFUT hod  posted buy pm at $4.40,positive,2
"BPI Says Caixabank, Isabel dos Santos Reach Agreement Over Angola Exposure",positive,2
The new SEPA cads will replace Finnish bank cards .,neutral,1
"According to Ringman , Finnish paper companies have acquired know-how and capacity in paper recycling , which has turned out to be a successful strategy .",positive,2
"$AAPL Stock Climbs as Barron's Sees 40% Upside, Jim Cramer's Take  https://t.co/lKlD9mVKBQ",positive,2
$GALE Breakout Coming Soon!,positive,2
Operating profit in the fourth quarter fell to EUR33m from EUR39m a year earlier .,negative,0
"Aldata Solution Oyj Stock Exchange Release 11 August 2006 , at 11.00 am ALDATA SHARES SUBSCRIBED FOR WITH 2003 STOCK OPTIONS A total of 95,000 new shares of Aldata Solution Oyj have been subscribed for with the company 's 2003A stock options .",neutral,1
Finnair said that the cancellation of flights would cause daily losses of  x20ac 2.5 million US$ 3 million .,negative,0
Saunalahti is a part of the Elisa group .,neutral,1
@NASDboy I think the DNF crew can get this $NFLX short into the next 30 days heading into earnings,negative,0
"The result will also be burdened by increased fixed costs associated with operations in China , and restructuring costs in Japan .",negative,0
Mr. Doring has been with Eaton since 1989 and acted as the Business Unit Manager for Eaton 's Power Controls Business Unit since January 2007 .,neutral,1
"The business area has operations in Finland , Sweden , Denmark , Estonia , Latvia and Lithuania .",neutral,1
"According to the Finnish-Russian Chamber of Commerce , all the major construction companies of Finland are operating in Russia .",neutral,1
"In volume , the focus is already outside Finland , as 60 % of the group 's products are made in Poland and the Baltic countries .",neutral,1
